name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"JAKARTA OBSERVATORY, ID",8/11/2022,93.4,77,84.7,103.4,77,91.3,75,74.2,0.004,100,4.17,rain,0,0,13.2,15.8,83.4,1009,47.3,4.1,248.9,21.4,8,30,2022-08-11T06:01:19,2022-08-11T17:54:44,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/12/2022,91.4,78.8,84.1,103.1,78.8,90.8,74.7,74.2,0.001,100,4.17,rain,0,0,13.2,14.7,103,1009.2,52.7,4.1,233,20.3,9,30,2022-08-12T06:01:01,2022-08-12T17:54:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/13/2022,91.4,75.2,83.2,100.9,75.2,89.4,74.3,75.7,0,0,0,rain,0,0,13.6,16.1,54.6,1009.4,40.9,4.3,236.9,20.4,8,30,2022-08-13T06:00:43,2022-08-13T17:54:40,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/14/2022,91.5,75.2,83.7,103.1,75.2,90.3,74.3,74.2,0.001,100,4.17,rain,0,0,25.3,17.2,96.3,1009.3,41.8,4.3,234.9,20.2,9,30,2022-08-14T06:00:24,2022-08-14T17:54:37,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/15/2022,90.3,75.2,83.5,102.3,75.2,89.5,73.9,73.9,0.001,100,4.17,rain,0,0,11.9,11.4,85.7,1010.1,55,3.8,195.7,16.9,7,30,2022-08-15T06:00:04,2022-08-15T17:54:34,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/16/2022,89.6,77,82.6,101.1,77,88,74.5,77.2,0.001,100,4.17,rain,0,0,13.9,11.2,284.7,1010.3,64.5,3.6,224.7,19.3,8,30,2022-08-16T05:59:44,2022-08-16T17:54:31,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/17/2022,89.8,77,83.1,103.7,77,88.9,74.8,76.9,0.229,100,8.33,rain,0,0,16.6,17.2,100,1010.1,51.4,4.1,213.6,18.4,8,30,2022-08-17T05:59:23,2022-08-17T17:54:27,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/18/2022,92,78.8,84.3,99.7,78.8,89.6,72.3,68.3,0,0,0,,0,0,15.2,20.8,96,1009.2,51,4.6,250.6,21.7,9,30,2022-08-18T05:59:01,2022-08-18T17:54:22,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/19/2022,94.3,77,85.1,99.5,77,90,71.6,65.6,0,0,0,,0,0,16.6,18.3,94.9,1009,43.6,4.6,271.1,23.4,9,10,2022-08-19T05:58:39,2022-08-19T17:54:17,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/20/2022,92,78.8,84.6,101.4,78.8,90.8,73.5,70.4,0,0,0,rain,0,0,17.2,19.7,98.3,1008.8,42.9,4.4,248.7,21.5,8,10,2022-08-20T05:58:16,2022-08-20T17:54:12,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
