ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
86.457756,82.73345,3.7243042,3.7243042,Sedang,Sedang
81.16754,82.63983,-1.47229,1.47229,Sedang,Sedang
76.83457,80.43548,-3.6009064,3.6009064,Sedang,Sedang
71.15479,71.03218,0.122612,0.122612,Sedang,Sedang
72.04474,75.42688,-3.382141,3.382141,Sedang,Sedang
107.21327,69.44547,37.7678,37.7678,Tidak Sehat,Sedang
77.780235,80.86963,-3.0893936,3.0893936,Sedang,Sedang
76.67394,76.247246,0.42669678,0.42669678,Sedang,Sedang
83.450165,78.12583,5.324333,5.324333,Sedang,Sedang
89.67199,80.651344,9.020645,9.020645,Sedang,Sedang
76.10255,74.54944,1.5531082,1.5531082,Sedang,Sedang
87.49202,67.79948,19.692543,19.692543,Sedang,Sedang
101.49288,67.501785,33.991096,33.991096,Tidak Sehat,Sedang
81.82662,85.06342,-3.2368011,3.2368011,Sedang,Sedang
79.476364,77.69089,1.7854767,1.7854767,Sedang,Sedang
77.15905,78.322556,-1.1635056,1.1635056,Sedang,Sedang
66.53185,76.14134,-9.609489,9.609489,Sedang,Sedang
78.502174,72.878075,5.6240997,5.6240997,Sedang,Sedang
78.34587,80.930725,-2.5848541,2.5848541,Sedang,Sedang
61.334,64.20607,-2.8720703,2.8720703,Sedang,Sedang
79.72452,70.952736,8.771782,8.771782,Sedang,Sedang
73.172874,76.79007,-3.6171951,3.6171951,Sedang,Sedang
72.64661,75.30871,-2.6621017,2.6621017,Sedang,Sedang
74.47323,68.356316,6.116913,6.116913,Sedang,Sedang
69.755,74.16966,-4.414665,4.414665,Sedang,Sedang
71.427315,65.61909,5.8082275,5.8082275,Sedang,Sedang
78.439224,69.67439,8.764832,8.764832,Sedang,Sedang
77.2517,79.82225,-2.570549,2.570549,Sedang,Sedang
83.07928,80.163445,2.9158325,2.9158325,Sedang,Sedang
82.55064,81.67375,0.87688446,0.87688446,Sedang,Sedang
81.269424,76.91879,4.3506317,4.3506317,Sedang,Sedang
82.21523,74.24903,7.966202,7.966202,Sedang,Sedang
69.40947,59.177017,10.232452,10.232452,Sedang,Sedang
61.39923,65.59027,-4.19104,4.19104,Sedang,Sedang
70.040596,72.02899,-1.9883957,1.9883957,Sedang,Sedang
59.085346,70.84674,-11.7613945,11.7613945,Sedang,Sedang
68.908905,68.92455,-0.015647888,0.015647888,Sedang,Sedang
83.33815,73.894875,9.443275,9.443275,Sedang,Sedang
83.95587,82.179756,1.7761154,1.7761154,Sedang,Sedang
81.72446,74.27337,7.451088,7.451088,Sedang,Sedang
75.67971,64.10722,11.572487,11.572487,Sedang,Sedang
61.548035,60.99892,0.5491142,0.5491142,Sedang,Sedang
71.27376,68.1727,3.101059,3.101059,Sedang,Sedang
98.09542,72.760185,25.335236,25.335236,Sedang,Sedang
100.54884,87.595535,12.953308,12.953308,Tidak Sehat,Sedang
86.71462,87.682625,-0.9680023,0.9680023,Sedang,Sedang
92.26861,80.967354,11.301254,11.301254,Sedang,Sedang
70.74492,83.58966,-12.844742,12.844742,Sedang,Sedang
59.083332,74.00623,-14.922901,14.922901,Sedang,Sedang
56.0,73.7638,-17.763802,17.763802,Sedang,Sedang
70.40169,70.65251,-0.25082397,0.25082397,Sedang,Sedang
58.89822,73.081055,-14.182835,14.182835,Sedang,Sedang
60.71638,62.17272,-1.4563408,1.4563408,Sedang,Sedang
55.739323,51.767017,3.9723053,3.9723053,Sedang,Sedang
52.317215,65.495605,-13.1783905,13.1783905,Sedang,Sedang
60.713642,52.210102,8.50354,8.50354,Sedang,Sedang
65.05479,68.47196,-3.4171753,3.4171753,Sedang,Sedang
14.296017,65.37758,-51.081562,51.081562,Baik,Sedang
