tanggal,station,ISPU PM2.5,kategori_pm25,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-09-29,jagakarsa,73.0,Sedang,78.83822464079864,-5.838224640798643,5.838224640798643,Sedang,Sedang
2024-09-29,kebun jeruk,69.0,Sedang,89.49594459148584,-20.495944591485838,20.495944591485838,Sedang,Sedang
2024-09-29,kelapa gading,76.0,Sedang,75.14838495677735,0.851615043222651,0.851615043222651,Sedang,Sedang
2024-09-29,lubang buaya,87.0,Sedang,58.18578167594893,28.81421832405107,28.81421832405107,Sedang,Sedang
2024-09-29,us embassy 1,83.60772930597159,Sedang,75.54111045194743,8.066618854024156,8.066618854024156,Sedang,Sedang
2024-09-29,us embassy 2,94.89254337776433,Sedang,90.34864281834983,4.543900559414496,4.543900559414496,Sedang,Sedang
2024-09-30,bundaran hi,72.70833333333333,Sedang,76.172889900572,-3.464556567238674,3.464556567238674,Sedang,Sedang
2024-09-30,jagakarsa,70.04166666666667,Sedang,75.46433386747621,-5.422667200809542,5.422667200809542,Sedang,Sedang
2024-09-30,kebun jeruk,72.04166666666667,Sedang,67.121253671247,4.920412995419667,4.920412995419667,Sedang,Sedang
2024-09-30,kelapa gading,73.66666666666667,Sedang,78.23480992869283,-4.568143262026155,4.568143262026155,Sedang,Sedang
2024-09-30,lubang buaya,76.375,Sedang,83.3881901072362,-7.013190107236198,7.013190107236198,Sedang,Sedang
2024-09-30,us embassy 1,73.79793427501083,Sedang,83.1964253322943,-9.398491057283465,9.398491057283465,Sedang,Sedang
2024-09-30,us embassy 2,81.14522432862034,Sedang,87.88421851704095,-6.738994188420605,6.738994188420605,Sedang,Sedang
2024-10-01,bundaran hi,86.125,Sedang,75.71921157856873,10.405788421431268,10.405788421431268,Sedang,Sedang
2024-10-01,jagakarsa,86.25,Sedang,71.36611859875883,14.883881401241169,14.883881401241169,Sedang,Sedang
2024-10-01,kebun jeruk,97.29166666666669,Sedang,78.24941623589612,19.042250430770565,19.042250430770565,Sedang,Sedang
2024-10-01,kelapa gading,81.95833333333333,Sedang,75.88730575235775,6.071027580975581,6.071027580975581,Sedang,Sedang
2024-10-01,lubang buaya,95.41666666666669,Sedang,76.28053835815216,19.13612830851453,19.13612830851453,Sedang,Sedang
2024-10-01,us embassy 1,77.73304812478742,Sedang,76.6496945414447,1.0833535833427135,1.0833535833427135,Sedang,Sedang
2024-10-01,us embassy 2,89.56639217361355,Sedang,81.49373731390413,8.072654859709417,8.072654859709417,Sedang,Sedang
2024-10-02,bundaran hi,87.625,Sedang,89.18296377240526,-1.5579637724052589,1.5579637724052589,Sedang,Sedang
2024-10-02,jagakarsa,86.29166666666667,Sedang,87.02194588051289,-0.7302792138462166,0.7302792138462166,Sedang,Sedang
2024-10-02,kebun jeruk,94.5,Sedang,89.80297080301952,4.6970291969804805,4.6970291969804805,Sedang,Sedang
2024-10-02,kelapa gading,89.66666666666667,Sedang,82.5406595821211,7.126007084545577,7.126007084545577,Sedang,Sedang
2024-10-02,lubang buaya,28.95833333333333,Baik,85.39641219451758,-56.43807886118425,56.43807886118425,Baik,Sedang
2024-10-02,us embassy 1,88.72619119743611,Sedang,81.03741740619043,7.68877379124568,7.68877379124568,Sedang,Sedang
2024-10-02,us embassy 2,100.84217786747976,Tidak Sehat,90.04158265092981,10.80059521654995,10.80059521654995,Tidak Sehat,Sedang
2024-10-03,bundaran hi,69.79166666666667,Sedang,88.79091657113173,-18.99924990446506,18.99924990446506,Sedang,Sedang
2024-10-03,jagakarsa,80.20833333333333,Sedang,87.12759614289948,-6.919262809566149,6.919262809566149,Sedang,Sedang
2024-10-03,kebun jeruk,92.5,Sedang,90.3928603189323,2.107139681067693,2.107139681067693,Sedang,Sedang
2024-10-03,kelapa gading,93.20833333333331,Sedang,88.21920339947796,4.989129933855352,4.989129933855352,Sedang,Sedang
2024-10-03,lubang buaya,73.54166666666667,Sedang,63.15830664089347,10.3833600257732,10.3833600257732,Sedang,Sedang
2024-10-03,us embassy 1,84.02365733431186,Sedang,90.88694339876882,-6.8632860644569575,6.8632860644569575,Sedang,Sedang
2024-10-03,us embassy 2,92.98064820181246,Sedang,96.33924002431948,-3.358591822507023,3.358591822507023,Sedang,Sedang
2024-10-04,bundaran hi,84.41666666666667,Sedang,74.28596432989652,10.130702336770156,10.130702336770156,Sedang,Sedang
2024-10-04,jagakarsa,75.08333333333333,Sedang,83.13198549931302,-8.04865216597969,8.04865216597969,Sedang,Sedang
2024-10-04,kebun jeruk,94.91666666666669,Sedang,89.12807453316307,5.788592133503613,5.788592133503613,Sedang,Sedang
