tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-07-26,jagakarsa,76.041664,76.26221,-0.22054291,0.22054291,Sedang,Sedang
2024-07-27,jagakarsa,87.416664,82.82473,4.591934,4.591934,Sedang,Sedang
2024-07-28,jagakarsa,96.25,85.38065,10.869347,10.869347,Sedang,Sedang
2024-07-29,jagakarsa,94.5,89.29303,5.20697,5.20697,Sedang,Sedang
2024-07-30,jagakarsa,90.791664,86.315895,4.475769,4.475769,Sedang,Sedang
2024-07-31,jagakarsa,100.625,93.75535,6.869652,6.869652,Tidak Sehat,Sedang
2024-08-01,jagakarsa,98.583336,92.49922,6.084114,6.084114,Sedang,Sedang
2024-08-02,jagakarsa,78.791664,88.397865,-9.606201,9.606201,Sedang,Sedang
2024-08-03,jagakarsa,62.291668,75.864006,-13.572338,13.572338,Sedang,Sedang
2024-08-04,jagakarsa,65.625,65.094574,0.530426,0.530426,Sedang,Sedang
2024-08-05,jagakarsa,69.875,76.52476,-6.6497574,6.6497574,Sedang,Sedang
2024-08-06,jagakarsa,79.375,71.0749,8.300102,8.300102,Sedang,Sedang
2024-08-07,jagakarsa,88.5,82.69184,5.808159,5.808159,Sedang,Sedang
2024-08-08,jagakarsa,106.791664,85.54691,21.244751,21.244751,Tidak Sehat,Sedang
2024-08-09,jagakarsa,89.333336,91.728676,-2.39534,2.39534,Sedang,Sedang
2024-08-10,jagakarsa,83.375,78.220406,5.1545944,5.1545944,Sedang,Sedang
2024-08-11,jagakarsa,80.166664,78.45524,1.7114258,1.7114258,Sedang,Sedang
2024-08-12,jagakarsa,74.125,78.547325,-4.422325,4.422325,Sedang,Sedang
2024-08-13,jagakarsa,90.458336,77.829285,12.629051,12.629051,Sedang,Sedang
2024-08-14,jagakarsa,94.25,84.97721,9.272789,9.272789,Sedang,Sedang
2024-08-15,jagakarsa,96.708336,90.6816,6.0267334,6.0267334,Sedang,Sedang
2024-08-16,jagakarsa,91.833336,92.38078,-0.5474472,0.5474472,Sedang,Sedang
2024-08-17,jagakarsa,103.0,87.49641,15.503593,15.503593,Tidak Sehat,Sedang
2024-08-18,jagakarsa,100.833336,87.59855,13.234787,13.234787,Tidak Sehat,Sedang
2024-08-19,jagakarsa,90.25,88.91049,1.339508,1.339508,Sedang,Sedang
